id,en,ar,d,cat,related
2915,fill,مَلْء (طلي),في البيانيات الحاسوبية: طليُ داخلِ شكلٍ مغلق (كالدائرة)، باستعمال لونٍ أو شكل نمطي pattern. هذا الجزءُ من الشكل الذي يمكِن تلوينُه أو تشكيلُه هو مساحةُ الملء. تقدِّم برامجُ الرسم عموماً أدوات لتوليد الأشكال المملوءة وغير المملوءة، بحيث يمكِن للمستخدِم تحديدُ اللون أو الشكل النمطي.,5,
2916,fitting,تلبيق,حسابُ منحنٍ أو أيّ خطٍّ آخر بحيث يكون أقرب ما يمكن من مجموعة من النقاط أو القياسات.,5,3955
2917,font page,صفحة البنوط,جزءٌ من الذاكرة الفيديوية المحجوزة لحفظ جداول تعريف المحارف التي يُحدِّدها المبرمجُ (مجموعات من الأشكال النمطية من المحارف). تُستخدَمُ لإظهار نصٍّ على الشاشة على أنظمة فيديوية من نوع صفيفة البيانيات المتعددة الألوان MCGA لشركة IBM.,4|18|26,
2918,foreground,1 وجهيّة الإظهار ؛ 2 وجهيّة,"1- لونُ البيانيات والمحارف المعروضة.
2- حالةُ برنامج أو وثيقة تحت التحكم ومتأثرة بأوامر ومعطيات الدخل في بيئة نوافذ.",17|25,
2919,fractal,كُسُوريةٌ,"كلمةٌ وضَعها الرياضي Benoit Mandelbrot في عام 1975 ليصِفَ صنفاً من الأشكال المميَّزة بعدم الانتظام، لكن بطريقةٍ تتطلّب شكلاً نمطياً. يَستخدِمُ الخبراءُ التقنيون الكسوريات في البيانيات الحاسوبية لتكوين صور طبيعية، مثل المناظر الطبيعية الأرضية، والغيوم، والغابات. إن السمةَ المميِّزةَ للكسوريات هي أنها ""مشابهة لنفسها""، أي إن أيَّ جزءٍ من كسورية عندما يُضخَّم، يكون له نفس هيئة الكسورية الكلية. من الصعب غالباً قياسُ طول محيط شكلٍ ما بدقة، لأن المسافة الإجمالية المقيسة تعتمد على حجم أصغر عنصر مقيس. فمثلاً، يمكن لفرد ما أن يقيس على شريط ساحلي معطى محيطَ كلِّ شبه جزيرة صغيرة أو خليج صغير، أو (بتضخيم أكبر) محيطَ كلِّ نتوء بحري صغير وكل رصيف ميناء، وهكذا دواليك. يمكن لكسورية ما أن تأخذ مساحة محدودة ومحيطاً غير منتهٍ، وتعدّ مثل هذه الأشكال ذات بُعدٍ كسري: كما هو الحال بين 1(خط) و2 (مستوٍ)؛ ومن هنا أتى اسمها الأجنبي fractal.",5,1210|2928
2920,frame rate,1 معدَّل إظهار الأطر ؛ 2 معدَّل تحديث الصورة,"1- السرعةُ القصوى لإرسال وإظهار صورٍ على شاشة مفردة باستعمال مرقابٍ بالمسح التسامتي. يُحسَب معدلُ إظهار الأُطُر باعتباره عددَ المرات بالثانية (هرتز) التي تَمسح بها الحزمةُ الإلكترونيةُ الشاشةَ.
2- في الإحياء animation: عددُ المرات بالثانية التي تُحدَّث بها الصورة. عندما يتجاوز معدّلُ إظهار الأُطُر 14 إطاراً في الثانية، فإن الإحياءَ يبدو على هيئة حركةٍ سَلسة.",5,3162
2921,full-screen,كامل الشاشة,قادرٌ على استعمال كامل مِساحة شاشة الإظهار، أو أن يُظهَر على كامل مساحتها. ومع أن التطبيقات التي تُنفَّذ في بيئة نوافذية يمكِن أن تَستخدِمَ مساحةَ الشاشة كلها، فإنها تُحصِّص عموماً مساحاتٍ مختلفة للنوافذ المختلفة، ويمكِن تكبير أيٍّ منها لملْءِ كامل الشاشة.,25,
2922,GDI,واجهة تجهيزة بيانية,مختصر: Graphical Device Interface. في Microsoft Windows: نظامُ إظهارٍ بياني يُستعمَلُ في التطبيقات لإظهار أو طباعة نصٍّ مقابَل نقطياً (بنوط TrueType)، وصُوَرٍ، وأي عناصر بيانية أخرى. إن واجهةَ التجهيزة البيانية مسؤولةٌ عن رسْم صناديق الحوار، والأزرار، وعناصر أخرى في أسلوبٍ متساوق على الشاشة، عن طريق استدعاء سوّاقات الشاشة المناسبة، وتمرير المعلومات حول العنصر ليصار إلى رسمه. تَعمل واجهةُ التجهيزة البيانية أيضاً مع طابعات GDI التي تَكون قدرتُها محدودةً لتحضّر صفحةً للطباعة. وعوضاً عن ذلك تتولّى الـ GDI المهمةَ عن طريق استدعاء سوّاقات الطابعات المناسبة وتحريك الصورة أو الوثيقة مباشرة إلى الطابعة، بدلاً من إعادة إصاغة reformatting الصور أو الوثيقة بلغة PostScript أو أي لغة طباعة أخرى.,5,2559|5418|6365
2923,generic icon,قُونَةٌ عَمومَة,صورةٌ بيانيةٌ مستخدَمةٌ لتمثيل برنامجٍ أو تطبيق. لا تَكون القُونَةُ في الحالة العامة مرفقةً ببرنامجٍ تنفيذي محدَّد.,17,
2924,geographic information system,نظام معلومات جغرافي,مختصره: GIS. تطبيقٌ (أو مجموعة تطبيقات) لمعاينة الخرائط وصُنْعِها. تحتوي أنظمةُ المعلومات الجغرافية بوجهٍ عام على نظام عرض (يَسمح في بعض الأحيان للمستخدِمين بمعاينة الخرائط على متصفِّح Web)، وعلى بيئةٍ لصُنْع خرائط، وعلى مخدِّم لإدارة الخرائط والمعطيات بهدف عرض موصول إلى الخط في الزمن الحقيقي.,5,
2925,GIF,1 مَصَاغَةُ التبادل البيني للبيانيات ، 2 مَصَاغَةُ التبادل البيني للبيانيات,1- مختصر: Graphics Interchange Format. مَصَاغَةُ ملفّاتٍ بيانية طوَّرتْها شركةُ CompuServe مستخدمةٌ لإرسال صورٍ تسامتية raster على إنترنت. يمكِن للصورة أن تحويَ 256 لوناً على الأكثر، ومنها اللون الشفاف. يتوقف حجم الملف على عدد الألوان المستعملة حالياً. تستخدم طريقة الضغط بخوارزمية LZW لخفض حجم الملف.,5,3832
2926,gnomon,[تمثيل] ثلاثي الأبعاد,في البيانيات الحاسوبية: تمثيلٌ لنظام المحاور الثلاثية الأبعاد (السينات والعينات والصادات).,5,
2927,grabber,1 ملتقِط، محصِّل ؛ 2 ملتقط ؛ 3 محصِّل ؛ 4 ملتقط,1- تجهيزةٌ لالتقاط معطيات صورٍ بيانية من كَمِرةٍ فيديوية (أو أي مصدر فيديوي ذي حركة كاملة) لوضعها في الذاكرة.,5|14|18,
2928,graftal,كُسُورية بيانية,واحدٌ من أسرة الأشكال الهندسية مشابهٌ للكسوريات fractal، لكنه أسهل للحساب. تُستعمل الكُسُورياتُ البيانيةُ غالباً في صناعة المؤثِّرات الخاصة، لتوليد صور تركيبية للبنى مثل الأشجار والنباتات.,5,2919
2929,graphic character,محرف كتابي,أيُّ محرفٍ ممثَّل برمز مرئي مثل محرف ASCII. مع الانتباه إلى أن المحرفَ الكتابيَّ ليس هو المحرف البياني نفسه.,7,
2930,analog,تماثُلِيّ,صفةُ تجهيزةٍ أو إشارةٍ لها خاصيةُ التغيراتِ المستمرة في الشدة أو الكمية، مثل: الجهد أو الصوت.,23,
2931,analog channel,قناة تماثلية,قناةُ اتصالاتٍ، (مثل خطٍّ هاتفيٍّ صوتيِّ رتبةِ الجودة voice-grade)، حاملةٌ لإشاراتٍ متغيرةٍ باستمرار، ويمكن أن تأخذ هذه الإشاراتُ أيَّ مطالٍ ضمن مجالٍ محدَّد.,3,
2932,analog computer,حاسوب تماثلي,حاسوبٌ يَقِيس المعطياتِ المتغيِّرَة القيمة باستمرار، مثل: السرعة أو الحرارة.,4,
2933,analog data,معطيات تماثلية,معطياتٌ مُمَثَّلةٌ بتغيراتٍ مستمرةٍ في بعض الخصائص الفيزيائية، مثل: الجهد، أو التردد، أو الضغط.,7|23|25,
2934,analog display,مِظهار تماثلي,مِظهارٌ فيديويٌّ قادرٌ على تمثيل مجالٍ مستمرٍ من الألوان أو الظلال، عوضاً عن تمثيلها بقيمٍ منفصلة.,18,
2935,analog line,خطٌّ تماثلي,خطُّ اتصالاتٍ، مثل الخط الهاتفي القياسي، يحمل إشاراتٍ ذات تغيرات مستمرة.,3,
2936,analog signal generator,مولِّد إشارة تماثلية,تجهيزةٌ تولِّد إشاراتٍ ذات تغيرات مستمرة، وتُستخدم أحياناً لتفعيل مفعِّلٍ ما في مِسْوَق القرص disk drive.,23,912
2937,graphic limits,حدود بيانية,على شاشة الحاسوب: حدُّ الصورة البيانية في برمجية بيانية، ويتضمّن كلَّ المِساحة الداخلية المحدودة بالبياني. وتسمَّى حدودُ البياني في بعض البيئات البيانية (أصغر مستطيل يمكن أن يكون مغلقاً تماماً) بالمستطيل المحدِّد أو بالصندوق المحدِّد.,5,
2938,Graphical Kernel System,نظام النواة البيانية,مختصره: GKS. مِقْيَسُ standard بيانيّاتٍ حاسوبية، اعترفتْ به ANSI وISO، وهو يوصِّف طرائقَ وصْف الصور البيانية ومعالجتها وتخزينها ونقلها. يَعمل نظامُ النواة البيانية على مستوى التطبيق بدلاً من مستوى العتاديات، ويتعامل مع محطات عمل منطقية (وهي جَمِيعةٌ من تجهيزات دخل وخرج مثل لوحة المفاتيح، والفأرة، والمرقاب) بدلاً من تجهيزات فردية. طُوِّر نظامُ النواة البيانية في عام 1978 ليعالِج بيانيّات ببعدين. وقد وَسَّع التعديلُ الأخير GKS-3D المِقْيَسَ إلى بيانيّات ثلاثية الأبعاد.,5,975|3172
2939,graphical user interface,واجهة المستخدم البيانية,مختصره: GUI. نوعٌ من البيئات يمثِّل برامجَ، وملفاتٍ، وخياراتٍ بواسطة قُوَنٍ icons، وقوائمَ، وصناديق حوار على الشاشة. يمكِن للمستخدِم أن يَنتقيَ ويُفعِّلَ هذه الخيارات بالتأشير والنقْر بالفأرة، أو غالباً عن طريق لوحة المفاتيح. هناك عنصرٌ خاصٌّ (مثل شريط الزلق scroll bar) يَعمل بنفس الأسلوب بالنسبة إلى المستخدِم في كلِّ التطبيقات، لأن واجهةَ المستخدِم البيانية تقدِّم مَسَاقاتٍ routines برمجيةً قياسيّةً لمعالجة هذه العناصر ونقْلِ أعمال المستخدِم (مثل نَقْر الفأرة لقُونَةٍ خاصة أو موضعٍ خاص في النص، أو الضغط على مفتاح)؛ تَستدعي التطبيقاتُ هذه المساقات مع موسِطاتٍ parameters خاصة بدلاً من محاولة إعادة توليدها ثانيةً انطلاقاً من الصفر.,5|14,
2940,graphics character,محرفٌ بيانيّ,محرفٌ يمكِن أن يُجمَعَ مع محارفَ أخرى لتوليد بيانيّات بسيطة مثل الأسطر، أو الصناديق، أو الكتل المظلّلة أو المصمتة.,5,
2941,graphics mode,1 نمط بياني ؛ 2 نمط بياني,1- في الحواسيب مثل IBM PC: نمطُ إظهارٍ تُرسَم فيه الأسطرُ والمحارفُ على الشاشة بكسلاً بعد بكسل. ولأن النمطَ البيانيَّ يولِّد صوراً من نقاطٍ فردية على الشاشة، فإن البرامجَ تمتلكُ مرونةً في توليد الصور، أكبر منها في توليد نمط إظهار معاكس (نمط نصّيّ أو نمط محرفي). وهكذا فإن الحاسوبَ قادرٌ على إظهار مؤشر الفأرة، كرأس سهم أو أيّ شكلٍ آخرَ بدلاً من مربع أو مستطيل مومض. ويمكِنه إظهارُ صفات المحارف (كالغامق الثخين والمائل) مثلما ستظهر على الطابعة، بدلاً من استخدام اصطلاحات مثل تشديد الإضاءة، أو التسطير تحت الكلمات، أو تبديل الألوان.,5,2950|2989|4000
2942,graphics primitive,بدئيّة بيانيّة,عنصرُ رسْمٍ (محرف نصي، أو قوس، أو مضلع) يُرسَمُ ويعالَجُ على أنه وحدةٌ منفردة، ويُضَمُّ إلى بدئيات بيانيةٍ أخرى لتوليد صورة.,5,
2943,gray scale,تدرج رمادي,متتاليةٌ من الظلال مرتبةٌ من الأسود حتى الأبيض، مستعمَلةٌ في البيانيّات الحاسوبية لإضافة تفاصيلَ إلى الصور، أو لعرض صورة ملونة على تجهيزةِ خرْجٍ وحيدةِ اللون. يَتوقّفُ عددُ الظلال الرمادية على عدد البتّات التي يخزَّن فيها كلُّ بكسل، كما هي حالُ عدد الألوان في صورة ملوَّنة. يمكِن أن يمثَّل اللونُ الرماديُّ عن طريق عدد من الظلال الرمادية الفعلية، أو عن طريق النقاط ذات نصف الدرجة halftone، أو عن طريق التظليل الوهمي dithering.,5,3034|6295
2944,grid,شَبَك,مجموعتان من الأسطر أو العناصر الخطية بزوايا متعامدة بعضها على بعض. فَوُريقات الجدولة spreadsheet مثلاً، هي شبكٌ من الصفوف والأعمدة، والشاشة البيانيّة شبكٌ من الأسطر الشاقولية والأفقية من البكسلات. يُستعمَلُ الشبكُ في تعرُّف المحارف ضوئياً لقياس المحارف أو توصيفها.,,5587
2945,group,ينشئ زمرة ، يَجمعُ في زمرة,في برنامج رسم: يُحوِّلُ عدداً من الأغراض إلى زمرة.,5,2132
2946,hairline,خطٌّ شَعْريّ,أصغرُ فراغٍ مرئيّ (أو أضيق خطّ) يمكِن إظهارُه على صفحةٍ مطبوعة. يتوقّف قياسُ الخطِّ الشعري على المواد والعتاديات والبرمجيات المستخدَمة أو على المنظمات المعنيّة. تُعرِّفُ منظمةُ United States Postal Service الخطَّ الشعريَّ بنصف نقطة (تقريباً 0.007 إنش)، على حين تُعرِّفه منظمةُ Graphic Arts Technical Foundation بـ 0.003 إنش.,5|18,1074|1686
2947,hidden line,خط مخفيّ,في أيِّ تطبيقٍ يمثِّل أغراضاً ثلاثيةَ الأبعاد مصمتة (مثل برنامج تصميم بمعونة الحاسوب CAD): خطٌّ في رسْمةٍ يكون مخفياً (أو يجب أن يكون مخفيّاً) إذا كان الغرض الذي ندركه بحواسنا بناءً مصمتاً. فمثلاً، اثنان من الخطوط الأربعة المشكلة للوجه السفلي لمكعب سيكونان مخفيين إذا كان المكعبُ مرسوماً كغرض مصمت ثلاثي الأبعاد. تسمّى إجرائيةُ إزالةِ مثل هذه الخطوط في تطبيق ما: إزالة الخطوط المخفية.,5|6,
2948,hidden surface,سطح مخفيّ,سطحٌ لغرضٍ ثلاثي الأبعاد مصمَت (كالممثَّل في برنامج تصميم بمعونة الحاسوبCAD)، يكون غيرَ مرئيٍّ إذا ما نظرنا إلى الغرض من زاوية خاصة؛ مثال ذلك: الجانب السفلي لجناح طائرة ننظر إليها من الأعلى.,5|6,
2949,hide,يخفي,يُرجئُ إظهارَ نافذةِ تطبيقٍ نشط أثناء تَرْك التطبيق في حالة عمل. يُعاد إظهارُ النوافذ المخفية عن طريق إصدار أمرٍ معيّن إلى نظام التشغيل.,17,
2950,high resolution,مَيْز عالٍ,القدرةُ على إعادة توليد نصٍّ وأشكالٍ بيانيّة بوضوحٍ نسبي ودقةٍ في التفاصيل. يَتحقق المَيْزُ resolution العالي باستعمال عددٍ كبير من البكسلات (النقاط) لتوليد صورة ضمن المِساحة المعطاة. وفيما يتعلق بإظهارات الشاشة، يُصرَّح عن المَيْز بدلالة العدد الإجمالي للبكسلات في البعدين الشاقولي والأفقي. فالموائمةُ الفيديوية VGA مثلاً لها مَيْز 640 بكسل طولاً و480 بكسل ارتفاعاً. يشير المَيْز في الطباعة إلى عدد النقاط في الإنش dpi الناتجة عن الطابعة، مثل 300 إلى 600 بكسل في الإنش للطابعات الليزرية المكتبية أو للطابعات بنفث الحبر، أو 1000 إلى 2000 بكسل في الإنش لمنضدات الصور ذات الجودة الإنتاجية.,5,
2951,highlight,يلقي الضوء,يُبدِّلُ مظهرَ المحارف لشدّ الانتباه إليها، كإظهارها بالحالة العكسية (مضيء على معتم بدلاً من معتم على مضيء، وبالعكس) أو بشدَّةٍ intensity أكبر. يُستخدَمُ إلقاءُ الضوء للإشارة إلى بندٍ (مثل خيار أو قائمة أو نص في معالج نصوص) وذلك بهدف العمل عليه بطريقة ما.,5,
2952,HLS,حاسّية اللون-ضياء-تشبّع,"مختصر: hue-lightness-saturation.
انظر: HSB.",5,
2953,horizontal retrace,عودة أفقية,حركةُ حزمةِ إلكتروناتٍ في مظهارِ المسح التسامتي raster الفيديوي من أقصى يمينِ سطرِ مسحٍ واحد، إلى أقصى يسار (البداية) السطر الذي يليه. يَكون المدفعُ الإلكتروني خلال العودة الأفقية متوقفاً، ويسمّى الوقتُ اللازم لحركة الحزمة بمجال الإغفال blanking الأفقي.,,5427
2954,horizontal synchronization,مزامنة أفقية,في المظاهير ذات المسح التسامتي: التوقيتُ الذي تولِّده الإشارةُ التي تتحكّم في الحزمة الإلكترونية للمظهار أثناء حركتها من اليسار إلى اليمين ورجوعها ثانية لتُنشئَ صورةً سطراً فسطراً.,18,5961
2955,HPGL,لغة بيانية من Hewlett-Packard,مختصر: Hewlett-Packard Graphics Language. لغةٌ مطوَّرةٌ أصلاً للصور الموجّهة للراسمات. تُترجِمُ هذه اللغةُ الصورَ البيانيةَ إلى ملفات من التعليمات يمكِن للبرنامج استخدامُها لإعادة بناء الصورة.,5,
2956,HSB,حاسّية اللون-تشبّع-سطوع,مختصر: hue-saturation-brightness. نموذجٌ لونيّ تَكون فيه حاسّيةُ اللون هي اللون نفسه لدى وضعه على دائرة الألوان، حيث الزاوية 0 درجة هي الأحمر، والزاوية 60 درجة هي الأصفر، والزاوية 120 درجة هي الأخضر، والزاوية 180 درجة هي النيلي، والزاوية 240 درجة هي الأزرق، والزاوية 300 درجة هي الأرجواني. أما التشبّعُ فهو النسبةُ المئوية لحاسّية اللون المخصصة للون، والسطوعُ هو نسبةُ الأبيض في اللون.,5,5746
2957,HSV,حاسّية اللون-تشبّع-قيمة,"مختصر: hue-saturation-value.
انظر: HSB.",5,
2958,hue,حاسّيةُ اللّوْن,في النموذج اللوني HSB: إحدى المميزات الثلاث المستخدَمة لوصف اللون. حاسّيةُ اللون هي الخاصيةُ التي تُميِّز بسهولة أحدَ الألوان عن الألوان الأخرى. وهي تَعتمِد على تردّد موجةِ الضوء في الطيف المرئي.,5,2956|5746
2959,Hyper-Wave,[مخدِّم] Hyper-Wave,مخدِّم WWW مخصَّصٌ للتعامل مع قواعد المعطيات والوسائط المتعددة.,4|8|14,
2960,hypermedia,وسائط ترابطية,تَكاملُ أيِّ جَمِيعةٍ من نصّ وأشكال بيانية وصوت وفيديو، ضمن نظامٍ اقترانيّ في المقام الأول لتخزين واستحضار معلومات، يَتنقّلُ فيه المستخدِمون من موضوعٍ إلى آخر متعلّق به للبحث عن معلومةٍ ما. تحاولُ هذه الوسائطُ الترابطيةُ أن تقدِّمَ بيئةَ عملٍ وتعليم، موازيةً للفكر البشري بحيث يستطيع المستخدِمُ الربطَ بين المواضيع، بدلاً من الانتقال تتابعياً من موضوعٍ إلى آخر كما في القائمة الأبجدية. فمثلاً، يمكِن أن يَتضمّن عرضٌ ترابطيٌّ في الملاحة ربطاً بعلم الفلك، وهجرة الطيور، والجغرافيا، والسواتل، والرادارات. فإذا كانت المعلومةُ نصّاً فسيُنظَر إليها على أنها نصٌّ ترابطي؛ وإذا تضمّنت فيديو، أو موسيقى، أو إحياء animation، أو أيَّ عناصرَ أخرى فسيُنظَر إليها على أنها وسائطُ ترابطية.,14,322
2961,image,1 صورة ؛ 2 صورة,1- وَصْفٌ مخزَّنٌ لصورةٍ بيانية، باعتباره مجموعةً من قيم السطوع واللون للبكسلات، أو باعتباره مجموعةً من التعليمات لإعادة توليد صورة.,5,804|5406
2962,Image Color Matching,مطابقة ألوان صورة,إجرائيةُ تصحيحِ خرجِ صورةٍ، لتُطابقَ نفس ألوان الصورة الأصلية الممسوحة أو المدخلة.,5,
2963,image compression,ضغط الصور,استخدامُ تقنيةِ ضغط المعطيات، وتطبيقُها على صورةٍ بيانية. تَشغَلُ الملفاتُ البيانيةُ غيرُ المضغوطة مِساحةَ تخزينٍ كبيرة، لذلك فإن ضغطَ الصورة مفيدٌ للحفاظ على المساحة.,5|12,1674|6012
2964,image editing,تحرير الصور,إجرائيةُ تغييرِ (أو تعديل) صورةٍ مقابَلَةٍ نقطياً bitmapped، وذلك باستخدام محرِّر صور.,5,
2965,image enhancement,تحسين الصور,إجرائيةُ تحسين جودةِ صورةٍ بيانية، إما آلياً بواسطة البرمجيات، أو باستعمال برنامج طلاء.,5,681|3185
2966,image map,صورة طباقية,صورةٌ تحوي عدةَ وصلاتٍ ترابطية على صفحة Web. بنقْر أجزاءٍ مختلفةٍ من الصورة يرتبط المستخدِمُ بمواردَ أخرى على جزءٍ آخر من صفحة Web (أو على صفحة Web أخرى)، أو على ملف. تُستعمَلُ الصورُ الطباقيةُ غالباً (التي يمكن أن تكون صورة ضوئية، أو رسمة أو تركيبة من عدة رسوم وصور ضوئية مختلفة) باعتبارها طباقاً للموارد الموجودة على موقعِ Web معيّن. تُنشأَ الصورُ الطباقيةُ بواسطة إخطاطات CGI scripts.,5|15,321|5188|5641
2967,imaging,تداول الصور,إجرائياتٌ تتعلق بالتقاط صورٍ بيانية، وتخزينِها، وإظهارِها، وطباعتِها.,8,
2968,incident light,ضوء وارد,الضوءُ الواردُ على سطحٍ في البيانيات الحاسوبية.,5,841
2969,Initial Graphics Exchange Specification,التوصيف الأولي للتبادل البياني,مختصره: IGES. مِقْيَسُ مَصَاغَةِ ملفٍّ للبيانيات الحاسوبية تدعمه ANSI مناسبٌ بوجهٍ خاصّ لوصف نموذجٍ مولّد باستخدام برامج التصميم بمعونة الحاسوب CAD. يحتوي هذا المِقْيَسُ على طيفٍ واسع من الأشكال الهندسية الأساسية، ويَسمح (مُجارياً أغراضَ التصميم بمعونة الحاسوب) بوصْفِ وتنويط حواشي الرسوم والمخططات الهندسية.,5,3172
2970,inline graphics,بيانيات مَحْوية,ملفاتٌ بيانيةٌ مضمَّنةٌ في وثائق HTML (أو صفحات Web) يمكِن رؤيتُها باستعمال متصفِّح Web أو أي برنامج آخر يتعرف HTML. تُسرِّع البيانياتُ المحويةُ النفاذَ إلى وثائق HTML وذلك لتجنبها عملياتٍ منفصلة لفتح الملفات.,15|19,
2971,interactive graphics,بيانيات تفاعلية,شكلٌ من واجهات المستخدِم يُمكِّن المستخدِمَ من تغيير الإظهارات البيانية والتحكم فيها، بمساعدة تجهيزة تأشير كفأرة أو عصا قيادة joystick. تَظهَر واجهاتُ البيانيات التفاعلية في طيفٍ واسع من المنتجات الحاسوبية ابتداءً من اللُّعَب إلى أنظمة التصميم بمعونة الحاسوب CAD.,5|24,
2972,interactive video,فيديو تفاعلي,استخدام فيديو قابل للتحكم فيه بواسطة حاسوب، على شكل قرص متراص أو قرص فيديوي، لأغراض تعليمية أو تسلية.,14,2425|2691|5090|5630
2973,intrinsic font,بنط أصالي,بنطٌ (نوع ومَقاس وشكل) له صورةٌ بتيّة (شكل نمطي دقيق) يمكِن استخدامُه دون أيِّ تعديلٍ، كضبط الأبعاد مثلاً.,26,
2974,IRGB,شدة الألوان: أحمر-أخضر-أزرق,مختصر: Intensity Red Green Blue. أحدُ أنواع ترميز الألوان، استُخدِمَ في الأصل في موائمات الإظهار البياني الملوّن CGA لشركة IBM، واستَمرّ استخدامُه في موائمات الإظهار البياني المحسَّن EGA والصفيفات البيانية الفيديوية VGA. دُعّم ترميزُ اللون القياسي على 3 خانات RGB (الذي يحدِّد 8 ألوان) ببتٍّ رابعٍ (يسمى الشِّدة) يَزيد بانتظام شدةَ إشارات اللون الأحمر والأخضر والأزرق، وهذا ما يعطي 16 لوناً.,5,578
2975,ISO 9660,[مِقْيَس] ISO 9660,مِقْيَسُ مَصَاغَةٍ format عالميةٍ خاصٌّ بالأقراص المتراصة CD-ROM اعتمدتْه ISO التي تتبع توصيف High Sierra مع بعض التعديلات.,14|18,101
2976,isometric view,مرأى متماثل القياس,طريقةٌ لإظهار الأجسام الثلاثية الأبعاد بحيث يَكون لكلِّ ضلعٍ الطولُ الصحيحُ (مع اعتبار مقياس الرسم) بحيث تَظهر فيه كلُّ الخطوط المتوازيةِ متوازيةً. فمثلاً، يُظهِرُ مرأى متماثل القياس لمكعبٍ الأوجهَ بشكلٍ متناسبٍ فيما بينها، وكذلك يَكون ارتفاعُ وعرضُ كلِّ وجهٍ متناسباً مع المقياس؛ أي لا تَظهر أضلاعُ الأوجهِ متقاربةً كما تَظهر عندما يُرسَم المكعبُ في المنظور.,5,
2977,italic,[خط] مائل,طرازُ كتابةٍ تَظهر فيه الحروفُ مائلةً نحو اليمين. تُستخدَمُ الخطوطُ المائلةُ للتركيز على الكلمات والجمل المكتوبة باللغة الأجنبية، وكذلك لكتابة عناوين الأعمال الأدبية والأعمال الأخرى، والمفردات التقنية والعبارات المقتبسة.,26,2180
2978,IVUE,[نسق] IVUE,مَصَاغَةُ format صُورٍ امتلاكية لِـ Live Pictures تسمح بضبط الملفات حسب مَيْزِ resolution الشاشةِ لأيِّ درجةِ تكبير.,5,
2979,jaggies,انثلامات,التدرجاتُ التي تَظهر على الخطوط القطرية والمنحنيات المرسومة بـمَيْزٍ resolution منخفضٍ في بيانيات حاسوبية.,5,
2980,jitter,1 ارتعاش ؛ 2 رجرجة ؛ 3 ارتعاش,"1- تغيراتٌ طفيفةٌ أو تموّجاتٌ في صورةٍ فيديوية مُظهَرَةٍ، بسبب عدم الانتظام في الإشارة المظهَرة. يَظهر الارتعاشُ غالباً في الخطوط الأفقية التي لها نفس ثخانة خطوط المسح.
2- مَظهرٌ خشنٌ في فَكْسٍ بسبب نقاطٍ لم تُسجَّلْ تسجيلاً صحيحاً خلال إجرائية المسح، ولذا تَوضَّعتْ توضعاً خاطئاً في الخرج.
3- تشوهاتٌ في الاتصالات الرقْمية بسبب فقدان تزامن الإشارات.",3|23,
2981,JPEG,1 المجموعة المشتركة لخبراء الصور ؛ 2 مصاغة JPEG,"1- مختصر: Joint Photographic Experts Group. مِقْيَس ISO/ITU لتخزين الصور تخزيناً مضغوطاً باستخدام تحويل جيب التمام المتقطع. يُعدّ مِقْيَسُ JPEG حلاًّ وسطاً بين نسبةِ الضغط والفقْد، ويمكِن الوصولُ إلى نسبةِ ضغط تصل إلى 100:1 مع فقْدٍ كبير، ونسبة 20:1 مع فقْدٍ طفيف.
2- تخزينُ بيانِيٍّ باعتباره ملفاً في مَصَاغَة JPEG.",23,
2982,jukebox,صندوق إسماع,برمجياتٌ مصمَّمةٌ لسماع لائحةٍ من الملفات الصوتية حسب ترتيبٍ يحدِّده المستخدِم، تُذكِّر بصندوق الإسماع المستخدَم في تشغيل المقطوعات المسجلة.,,
2983,key-frame,إطار مفتاحي,مصطلحٌ يَصفُ الإحياءَ animation الذي يُعطَى فيه الوضعُ البدائيُّ والنهائي لغرضٍ ما (مع استيفاء كلّ الأُطُر الفاصلة بينهما يجريه الحاسوب) للحصول على إحياءٍ مؤتمتٍ سَلِس. إن أغلبَ عمليات الإحياء الحاسوبي بتعقّب الشعاع تَستخدِمُ هذه التقنية.,14,3839
2984,kiosk,كشك,حاسوبٌ مستقلٌّ أو مطرافٌ يزوِّد العمومَ بالمعلومات، باستخدام مظهار متعدد الوسائط عادةً.,,
2985,layering,تشكيل الطبقات (طبقنة),في البيانيات الحاسوبية: تجميعٌ لعناصر مرتبطة منطقياً ضمن رسْمة. تَسمح الطبْقَنَةُ لمستخدِمِ البرنامج أن يَرى ويَعملَ على أجزاءٍ بيانيةٍ مستقلةٍ عوضاً عن العمل على كامل الرسمة.,7,
2986,leading,تباعد [السطور],الفراغُ، مقدراً بعدد النقاط، بين أسطر الطباعة مَقِيساً من الخطّ الأساسي لسطر، إلى نظيره في السطر التالي. اشتُقّ هذا المصطلحُ في الإنكليزية من الرصاص، لأن الممارسةَ التقليديةَ في تنضيد الحروف تُقحِمُ صفيحةً رصاصيةً بين أسطر الحروف المعدنية.,18,1686
2987,line drawing,رسمة خطوطية,رسْمةٌ مؤلفةٌ من خطوطٍ مصمتة دون ظلٍّ أو معالم أخرى توحي بالكتلة أو التكفيف contouring.,5,
2988,line segment,قطعة مستقيمة,جزءٌ من خطٍّ معرَّفٍ بنقطةِ بدايةٍ ونقطةِ نهاية.,,
