term_id,term,term_url,ar,cs,de,en,es,fr,it,ja,ko,nl,pl,pt,sr,sv,zh
103-08-10,"expectation, <of a random variable>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-10,التباين (لمتغير عشوائى),"očekávání, (náhodné veličiny)průměr, (náhodné veličiny)","Erwartungswert, <einer Zufallsvariablen> mMittelwert, <einer Zufallsvariablen> m","expectation, <of a random variable>mean, <of a random variable>",esperanza matemática (de una variable aleatoria),"espérance mathématique, <d'une variable aléatoire> fespérance, <d'une variable aléatoire> fmoyenne, <d'une variable aléatoire> f",valore atteso (di una variabile casuale)valor medio (di una variabile casuale),"期待値, <確率変数の>平均, <確率変数の>","기대값, <확률변수>","wiskundige verwachting, <van een toevalsvariabele> f",wartość oczekiwana (zmiennej losowej),esperança matemática (de uma variável aleatória)esperança (de uma variável aleatória)média (de uma variável aleatória),"очекивање, <случајне променљиве> с јдсредња вредност, <случајне променљиве> ж јд",väntevärde (av en stokastisk variable)medelvärde (av en stokastisk variable),"期望值, <一个随机变量的>均值, <一个随机变量的>"
103-08-11,"variance, <of a random variable>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-11,التباين ( لكميات عشوائية),"rozptyl, (náhodné veličiny)variance, (náhodné veličiny)","Varianz, <einer Zufallsvariablen> f","variance, <of a random variable>",varianza (de una variable aleatoria),"variance, <d'une variable aléatoire> f",varianza (di una variabile casuale),"分散, <確率変数の>","분산, <확률변수>","variantie, <van een toevalsvariabele> f",wariancja (zmiennej losowej),variância (de uma variável aleatória),"варијанса, <случајне променљиве> ж јд",varians (av en stokastisk variabel),"方差, <一个随机变量的>"
103-08-12,"variance, <in statistics>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-12,التباين (احصائى),"rozptyl, (ve statistice)variance, (ve statistice)","Varianz, <in der Statistik> f","variance, <in statistics>",varianza (en estadística),"variance, <en statistique> f",varianza (nella statistica),"分散, <統計学の>","분산, <통계학>","variantie, <in de waarschijnlijkheidsleer> f",wariancja (w statystyce),variância (em estatística),"варијанса, <у статистици> ж јд",varians (i statistik),"方差, <统计学中的>"
103-08-13,standard deviation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-13,الانحراف المعيارى,směrodatná odchylka,"Standardabweichung, f",standard deviation,desviación tipica,"écart-type, m",scarto tipo,標準偏差,표준편차,"standaarddeviatie, fstandaardafwijking, f",odchylenie standardowe,desvio-padrão,"стандардна девијација, ж јд",standardavvikelse,标准差
103-08-14,"p-fractile, <of a probability distribution>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-14,(لتوزيع احتمالى) p- كمية (لتوزيع احتمالى) p- كسرية,"p-fraktil, (rozdělení pravděpodobnosti)p-kvantil, (rozdělení pravděpodobnosti)","p-Quantil, <einer Wahrscheinlichkeitsverteilung> np-Fraktil, <einer Wahrscheinlichkeitsverteilung> n","p-fractile, <of a probability distribution>p-quantile, <of a probability distribution>",fractil de orden p (de una ley de probabilidad),"fractile d'ordre p, <d'une loi de probabilité> mquantile d'ordre p, <d'une loi de probabilité> m",p-frattile (di una distribuzione di probabilità)quantile di ordine p (di una distribuzione di probabilità),"p－分位点, <確率分布の>p－分位点, <確率分布の>p-フラクタイル, <確率分布の>p－クォンタイル, <確率分布の>","p 분위수, <확률분포>","p -fractiel, <van een kansverdeling> m",kwantyl rzędu pfraktyl rzędu p,fractil-p (de uma distribuição de probabilidade)quantil-p (de uma distribuição de probabilidade),"p-квантил, <расподеле вероватноће> м јд",p-fraktil (av en sannolikhetsfördelning),"p-分位数, <一个概率分布的>"
103-08-15,median,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-15,الوسيط,medián,"Medianwert, m",median,mediana,"médiane, f",coefficiente di variazione,メディアン,중앙값,"mediaan, m",mediana,mediana,"медијана, ж јд",median,中位数
103-08-16,variation coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-16,معامل الانحراف,variační koeficient,"Variationskoeffizient, m",variation coefficient,coeficiente de variación,"coefficient de variation, m",mediana,変動係数,변동 계수변이 계수,"variatiecoëfficiënt, m",współczynnik odchylenia standardowego,coeficiente de variação,"коефицијент варијације, м јд",varianskoefficient,变差系数
103-09-01,frequency band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-09-01,المدى الترددى,frekvenční pásmokmitočtové pásmo,"Frequenzband, n",frequency band,banda de frecuencias,"bande de fréquences, f",banda di frequenzagamma di frequenza,周波数帯,주파수 대역,"frequentieband, m","pasmo częstotliwości, n",banda de frequências,"фреквенцијски опсег, м јд",frekvensband,频带
103-09-02,bandwidth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-09-02,عرض المدىالعرض الترددى,šířka pásmafrekvenční šířka pásmašířka kmitočtového pásma,"Bandbreite, fFrequenzbandbreite, f",bandwidthfrequency bandwidth,ancho de banda de frecuencias,"largeur de bande, flargeur de bande de fréquences, f",larghezza di banda di frequenzalarghezza di banda,帯域幅周波数帯域幅,주파수대역폭,"bandbreedte, f","szerokość pasma częstotliwości, fszerokość pasma, f",largura de banda de frequênciaslargura de banda,"ширина фреквенцијског опсега, ж јд",bandbreddfrekvensbandbredd,频带宽带宽
103-09-03,spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-09-03,الطيف,spektrum,"Spektrum, n",spectrum,Espectro,"spectre, m",spettro,スペクトル,스펙트럼,"spectrum, n",widmo,espectro,"спектар, м јд",spektrum,谱
103-09-04,power spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-09-04,طيف القوة,výkonové spektrum,"Leistungsspektrum, n",power spectrum,espectro de potencia,"spectre de puissance, m",spettro di potenza,パワースペクトル,전력 스펙트럼,"vermogensspectrum, n",widmo mocy,espectro de potência,"спектар снаге, м јд",effektspektrum,功率谱
103-09-05,power spectral density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-09-05,كثافة القوة الطيفية,spektrální hustota výkonuspektrální výkonová hustota,"spektrale Leistungsdichte, f",power spectral densitypower spectrum density,densidad espectral de potencia,"densité spectrale de puissance, fDSP, fpuissance spectrique, f",densità spettrale di potenza,パワースペクトル密度,전력 스펙트럼 밀도,"spectrale vermogensdichtheid, f",gęstość spektralna mocygęstość widmowa mocyDSP (akronim),densidade espectral de potência,"спектрална густина снаге, ж јд",spektral effekttäthet,功率谱密度
103-09-06,correlation function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-09-06,دالة الارتباط,korelační funkce,"Korrelationsfunktion, f",correlation function,función de correlación,"fonction de corrélation, f",funzione di correlazione,相関関数,상관 함수,"correlatiefunctie, f",funkcja korelacji,função de correlação,"корелациона функција, ж јд",korrelationsfunktion,相关函数
103-09-07,autocorrelation function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-09-07,دالة الارتباط الذاتية,autokorelační funkce,"Autokorrelationsfunktion, f",autocorrelation function,función de autocorrelación,"fonction d'autocorrélation, f",funzione di autocorrelazione,自己相関関数,자기 상관 함수,"autocorrelatiefunctie, f",funkcja autokorelacji,função de autocorrelação,"аутокорелациона функција, ж јд",autokorrelationsfunktion,自相关函数
103-09-08,crosscorrelation function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-09-08,دالة الارتباط المتداخلةدالة الارتباط الداخلية,interkorelační funkce,"Kreuzkorrelationsfunktion, f",crosscorrelation functionintercorrelation function,función de intercorrelación,"fonction d'intercorrélation, f",funzione di correlazione incrociata,相互相関関数,상호 상관 함수,"kruiscorrelatiefunctie, f",funkcja interkorelacjifunkcja korelacji wzajemnej,função de intercorrelação,"унакрсна корелациона функција, ж јд",korskorrelationsfunktion,互相关函数
103-10-01,wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-01,الموجة,vlna,"Welle, f",wave,Onda,"onde, f",onda,波動,파동파,"golf, m, f",fala,onda,"талас, м јд",våg,波
103-10-02,waveform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-02,شكل الموجة,tvar vlny,"Wellenform, f",waveform,forma de onda,"forme d'onde, f",forma d'onda,波形,파형,"golfvorm, m",kształt fali,forma de onda,"таласни облик, м јд",vågform,波形
103-10-03,sinusoidal wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-03,موجة جيبية,sinusoidální vlna,"Sinuswelle, fsinusförmige Welle, f",sinusoidal wave,onda sinusoidal,"onde sinusoïdale, f",onda sinusoidale,正弦波,정현파,"sinusvormige golf, m, f",fala sinusoidalna,onda sinusoidal,"синусни талас, м јд",sinusformad våg,正弦波
103-10-04,wavefront,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-04,اول الموجة,vlnoplocha,"Wellenfront, f",wavefront,frente de onda,"surface d'onde, f",fronte d'onda,波面,파면,"golffront, n",czoło fali,fronte de onda,"фронт таласа, м јд",vågfront,波前
103-10-05,direction of propagation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-05,اتجاه الانتشار,směr šíření,"Ausbreitungsrichtung, f",direction of propagation,dirección de propagación,"direction de propagation, f",direzione di propagazione,伝播方向,전파 방향,"voortplantingsrichting, f",kierunek propagacjikierunek rozprzestrzeniania się,direcção de propagação,"правац простирања, м јд",utbredningsriktning,传播方向
103-10-06,plane wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-06,موجة مسطحة,rovinná vlna,"ebene Welle, f",plane wave,onda plana,"onde plane, f",onda piana,平面波,평면파,"vlakke golf, m, f",fala płaska,onda plana,"равански талас, м јд",plan våg,平面波
103-10-07,longitudinal wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-07,موجة طولية,podélná vlna,"Longitudinalwelle, flongitudinale Welle, f",longitudinal wave,onda longitudinal,"onde longitudinale, f",onda longitudinale,縦波,종파세로 파,"longitudinale golf, m, flangsgolf, m, f",fala podłużna,onda longitudinal,"лонгитудинални талас, м јд",longitudinell våg,纵波
103-10-08,transverse wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-08,موجة مستعرضة,příčná vlna,"Transversalwelle, ftransversale Welle, f",transverse wave,onda transversal,"onde transversale, f",onda trasversale,横波,횡파가로 파,"transversale golf, m, fdwarsgolf, m, f",fala poprzeczna,onda transversal,"трансверзални талас, м јд",transversell våg,横波
103-10-09,wave vector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-09,متجه الموجة,vlnový vektor,"Wellenvektor, mWellenzahlvektor, m, (abgelehnt)",wave vector,vector de onda,"vecteur d'onde, m",vettore d'onda,波動ベクトル,파동 벡터파 벡터,"golfvector, m",wektor fali,vector de onda,"таласни вектор, м јд",vågvektor,波向量
103-10-10,wavelength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-10,الطول الموجى,vlnová délka,"Wellenlänge, f",wavelength,longitud de onda,"longueur d'onde, f",lunghezza d'onda,波長,파장,"golflengte, f",długość fali,comprimento de onda,"таласна дужина, ж јд",våglängd,波长
103-10-11,wavenumber,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-11,عدد موجىتكرارات,vlnočetrepetenceNEVHODNÝ TERMÍN: vlnové číslo,"Repetenz, fWellenzahl, fWellendichte, f, (abgelehnt)",wavenumberrepetency,número de onda,"nombre d'onde, mrépétence, f",numero d'onda,波数波長の逆数,파수,"golfgetal, n",liczba falowarepetencja,número de ondarepetência,"таласни број, м јд",repetens,波数
103-10-12,angular wavenumber,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-12,عدد موجى زاوىتكرار زاوى,úhlový vlnočetúhlová repetence,"Kreisrepetenz, fKreiswellenzahl, f",angular wavenumberangular repetency,número de onda angular,"nombre d'onde angulaire, mrépétence angulaire, f",numero d'onda angolare,角波数,각파수,"hoekgolfgetal, n",liczba falowa kątowarepetencja kątowa,número de onda angularrepetência angular,"угаони таласни број, м јд",vinkelrepetens,角波数
103-10-13,phase velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-13,السرعة الزاوية,fázová rychlost,"Phasengeschwindigkeit, f",phase velocity,velocidad de fase,"vitesse de phase, f",velocità di fase,位相速度,위상속도,"fasesnelheid, f",prędkość fazowa,velocidade de fase,"фазна брзина, ж јд",fashastighet,相速
103-10-14,"dispersive, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-14,مشتت,disperzní,"dispergierend, Adjektiv","dispersive, adj",dispersivo,"dispersif, adj",dispersivo,"分散的な, 形容詞","분산적, 형용사","dispersief, adj",dyspersyjnyrozpraszający,"dispersivo, adj","дисперзивна, придев",dispersiv,色散的
103-10-15,group velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-15,سرعة المجموعة,grupová rychlost,"Gruppengeschwindigkeit, f",group velocity,velocidad de grupo,"vitesse de groupe, f",velocità di gruppo,群速度,군 속도,"groepsnelheid, f",prędkość grupowa,velocidade de grupo,"групна брзина, ж јд",grupphastighet,群速度
103-10-16,forward wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-16,الموجه الامامية,dopředná vlna,"Vorwärtswelle, f",forward wave,onda directa,"onde directe, f",onda diretta,前進波,전진파,"voorwaartse golf, m, f",fala postępująca,onda directa,"директни талас, м јд",framåtgående våg,前向波
103-10-17,backward wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-17,الموجة الخلفية,zpětná vlna,"Rückwärtswelle, f",backward wave,onda inversa,"onde rétrograde, f",onda regressiva,後進波,후진파,"achterwaartse golf, m, f",fala powrotna,onda retrógrada,"инверзни талас, м јд",bakåtgående våg,后向波
103-10-18,propagation coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-18,معامل الانتشار,součinitel šířeníkoeficient šíření,"Ausbreitungskoeffizient, m",propagation coefficient,coeficiente de propagación,"exposant linéique de propagation, m",coefficiente di propagazione,伝播係数,전파 계수,"voortplantingcoëfficiënt, m",tamowność liniowawspółczynnik propagacji,coeficiente de propagação,"коефицијент простирања, м јд",utbredningskoefficient,传播系数
103-10-19,attenuation coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-19,معامل الاضمحلال,součinitel útlumukoeficient útlumu,"Dämpfungskoeffizient, m",attenuation coefficient,coeficiente de atenuación,"affaiblissement linéique, m",coefficiente di attenuazione,減衰係数,감쇠 계수,"dempingcoëfficiënt, m",tłumienność liniowawspółczynnik tłumienia (2) (dotyczy propagacji fali),coeficiente de atenuação,"коефицијент слабљења, м јд",dämpningskoefficient,衰减系数
103-10-20,phase coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-20,معامل الطورمعامل تغير الطور,fázový součinitelfázový koeficient,"Phasenkoeffizient, m",phase coefficientphase-change coefficient,coeficiente de fase,"déphasage linéique, m",coefficiente di fasecoefficiente di cambiamento di fase,位相係数位相変化係数,위상 계수,"fasecoëfficiënt, m",przesuwność liniowawspółczynnik fazy,coeficiente de fase,"фазни коефицијент, м јдкоефицијент фазне промене, м јд",faskoefficient,相位系数相位变化系数
103-10-21,geometric optics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-21,بصريات هندسية,geometrická optika,"geometrische Optik, fStrahlenoptik, f",geometric optics,óptica geométrica,"optique géométrique, f",ottica geometrica,幾何光学,기하 광학,"stralenoptica, fmeetkundige optica, f",optyka geometryczna,óptica geométrica,"геометријска оптика, ж јд",geometrisk optik,几何光学
103-10-22,incident wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-22,موجة مرسلة,dopadající vlna,"einfallende Welle, f",incident wave,onda incidente,"onde incidente, f",onda incidente,入射波,입사파,"invallende golf, m, f",fala padająca,onda incidente,"упадни талас, м јд",infallande våg,入射波
103-10-23,diffracted wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-23,موجة حيود ( منحرفة ),rozptýlená vlna,"gebeugte Welle, f",diffracted wave,onda difractada,"onde diffractée, f",onda diffratta,回折波,회절파,"afgebogen golf, m, f",fala ugiętafala dyfrakcyjna,onda difractada,"дифрактован талас, м јд",spridd våg,绕射波
103-10-24,refracted wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-24,موجة منكسرة,lomená vlna,"gebrochene Welle, f",refracted wave,onda refractada,"onde réfractée, f",onda rifratta,屈折波,굴절파,"gebroken golf, m, f",fala załamana,onda refractada,"преломљени талас, м јд",böjd våg,折射波
103-10-25,reflected wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-25,موجة منعكسة,odražená vlna,"reflektierte Welle, f",reflected wave,onda reflejada,"onde réfléchie, f",onda riflessa,反射波,반사파,"gereflecteerde golf, m, fweerkaatste golf, m, f",fala odbita,onda reflectida,"одбијени талас, м јд",reflekterad våg,反射波
103-10-26,coherence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-26,تماسك,koherence,"Kohärenz, f",coherence,coherencia,"cohérence, f",coerenza,可干渉性,간섭,"coherentie, f","koherencja, fspójność, f",coerência,"кохерентност, ж јд",koherens,相干性
103-10-27,phase interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-27,تداخل الطورتداخل موجى,fázová interferencevlnová interference,"Interferenz, f",phase interferencewave interference,Interferencia,"interférence, f",interferenza di faseinterferenza d'onda,位相干渉波動干渉,위상 간섭,"interferentie, f",interferencja,interferência,"интерференција, ж јд",våginterferensfasinterferens,相位干涉波干涉
103-10-28,standing wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-28,موجة مستقرة,stojatá vlna,"stehende Welle, f",standing wave,onda estacionaria,"onde stationnaire, f",onda stazionaria,定在波,정재파,"staande golf, m, f",fala stojąca,onda estacionária,"стојећи талас, м јд",stående våg,驻波
103-10-29,"node, <of a standing wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-29,عقدة,"uzel, <stojatého vlnění>","Schwingungsknoten, mKnoten, <einer stehenden Welle> m","node, <of a standing wave>standing-wave minimum",nodo,"nœud, <d'une onde stationnaire> m",nodo (di un'onda stazionaria),"波節, <定在波の>","마디, <정재파>노드, <정재파>","golfknoop, m",węzeł (fali stojącej),nó (de uma onda estacionária),"чвор, <стојећег таласа> м јд",nod (hos en stående våg),"节点, <一个驻波的>"
103-10-30,antinode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-10-30,عقدة عكسية,kmitna,"Schwingungsbauch, mBauch, <einer stehenden Welle> m",antinode,vientre,"ventre, f",ventre,波腹,배,"golfbuik, m",przeciwwęzeł (fali stojącej),ventre,"античвор, м јд",antinod,波腹
