term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,no,pl,pt,sv,zh
131-13-07,"node, <in circuit theory>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-07,عقدة,"Knoten, m","node, <in circuit theory>vertex, US",nudo,"noeud, <en théorie des circuits> mDÉCONSEILLÉ: sommet, m",nodo,節 点頂点節,"노드정점, US",node,węzeł,nó,knutpunkt,节点
131-13-08,path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-08,مسار,"Pfad, mWeg, m",path,camino,"chemin, m",percorsocammino,経路通路,경로,veg,ścieżka,caminho,vägnod,"路径路, <相关条目：131-11-06>"
131-13-09,graph (of a network),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-09,رسم بياني للشبكة,"Graph (eines Netzwerks), m",graph (of a network),grafo (de una red),"graphe (d'un réseau), m",grafo,"グラフ, <回路網の>","그래프, <회로망>",graf,graf (sieci),"grafo, <de uma rede>",graf,"网络图图, <网络的>"
131-13-10,connected network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-10,شبكة موصولة,"zusammenhängendes Netzwerk, n",connected network,red conexa,"réseau connexe, m",rete connessa,接続回路網,접속망,samanhengande nett,sieć spójna,rede conectada,sammanhängande nät,连通网络
131-13-11,unconnected network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-11,شبكة غير موصولة,"nicht zusammenhängendes Netzwerk, n",unconnected network,red no conexa,"réseau non connexe, m",rete non connessa,非接続回路網,비접속망,ikkje-samanhengande nett,sieć rozłączna,rede não-conectada,ej sammanhängande nät,非连通网络
131-13-12,loop,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-12,,"Masche, fSchleife, f",loop,lazo,"boucle, f",,ループ閉路,루프,sløyfe,pętla,anel,,回路
131-13-13,tree,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-13,شجرة,"Baum, m",tree,árbol,"arbre, m",albero,木,트리,tre,drzewo,árvore,träd,树
131-13-14,co-tree,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-14,فروع متشعبة,"Baumkomplement, nCo-Baum, m",co-tree,coárbol,"co-arbre, m",co-albero,補木,협조 트리,.....,przeciwdrzewodopełnienie drzewa,co-árvore,trädkomplement,余树
131-13-15,link (in network topology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-15,وصلة (فى تشكيل الشبكات),"Verbindungszweig, mSaite, f",link (in network topology),eslabón,"maillon, m",ramo di co-albero,"連結, <回路網トポロジーでの>","연결, <망 토폴로지>",sambandslinje,cięciwagałąź dopełniająca,elo,länk,"连支, <网络拓扑学中的>"
131-13-16,mesh,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-16,شبيكة,"Fundamentalmasche, f",mesh,malla,"maille, f",maglia,網目,격자망그물망,maske,oczko,malha,maska,基本回路
131-13-17,mesh current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-17,تيار شبيكة,"Maschenstrom, mFundamentalmaschenstrom, m",mesh current,corriente de malla,"courant de maille, m",corrente di maglia,網目電流,그물망 전류,maskestraum,prąd oczkowy,corrente de malha,maskström,基本回路电流
131-13-18,planar graph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-18,مخطط مستوى,"planarer Graph, mplättbarer Graph, m",planar graph,grafo plano,"graphe planaire, m",grafo planare,平面的グラフ平面グラフ,평면 그래프,plan graf,graf planarny,grafo planar,plan graf,平面图
131-13-19,cut-set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-19,مجموعة مقتطعة,"Trennbündel, nSchnittmenge, f",cut-set,conjunto de corte,"ensemble de coupure, mcoupure, f",insieme di taglio,カットセット,자름 집합,kuttesett,rozcięcie grafu,conjunto de cortecorte,,割集
131-13-20,adjacency matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-20,مصفوفة تجاور,"Strukturmatrix, f",adjacency matrix,matriz de adyacencia,"matrice d'adjacence, f",matrice delle adiacenze,隣接行列,인접 행렬,strukturmatrise,macierz przyległości,matriz de adjacência,,邻接矩阵
131-13-21,branch-node incidence matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-21,مصفوفة تلاقى عقد فرعية,"Knoten-Zweig-Inzidenzmatrix, f",branch-node incidence matrix,matriz de incidencia rama-nudo,"matrice d'incidence branche-noeud, f",matrice di incidenza rami-nodi,カットセット行列,가지 노드 입사 행렬,.....,macierz koincydencji gałęziowo-węzłowych,matriz de incidência ramo-nó,,支路-节点关联矩阵关联矩阵
131-13-22,branch-mesh incidence matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-22,مصفوفة تلاقى حلقات شبكية فرعية,"Maschen-Zweig-Inzidenzmatrix, f",branch-mesh incidence matrix,matriz de incidencia rama-malla,"matrice d'incidence branche-maille, f",matrice di incidenza rami-maglie,開路行列,가지 그물망 입사 행렬,.....,macierz koincydencji gałęziowo-oczkowych,matriz de incidência ramo-malha,,支路-回路关联矩阵回路矩阵
131-13-23,L-network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-23,شبكة L,"L-Schaltung, fΓ-Schaltung, f",L-networkΓ-network,red en Lred en Γ,"réseau en L, mréseau en Γ, m",rete a Lquadripolo ad L,Ｌ形回路網Γ形回路網,L형 망Γ형 망,L-nettverk,czwórnik typu Lczwórnik typu Γ,rede em L,L-länk,L形网络Γ形网络
131-13-24,mirror L-network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-24,شبكة L مرآة,"Spiegel-L-Schaltung, fSpiegel-Γ-Schaltung, f",mirror L-networkmirror Γ-network,red en L invertida,"réseau en L inverti, mréseau en Γ inverti, m",rete a L invertita,ミラーＬ形回路網ミラーΓ形回路網,거울상 L형 망거울상 Γ형 망,invertert L-nettverk,czwórnik typu L odwróconeczwórnik typu Γ odwrócone,rede em L invertidorede em Γ invertido,speglad L-länk,镜像L形网络镜像Γ形网络
131-13-25,T-network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-25,شبكة T,"T-Schaltung, f",T-network,red en T,"réseau en T, m",rete a Tquadripolo a T,ＴネットワークＴ回路網,T형 망,T-nettverk,czwórnik typu T,rede em T,T-länk,T形网络
131-13-26,Π-network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-26,شبكة-Π,"Π-Schaltung, f",Π-network,red en ,"réseau en Π, m",rete a Π,ΠネットワークΠ回路網,Π형 망,pi-nettverk,czwórnik typu Π,rede em Π,P-länk,П形网络
131-13-27,bridge network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-27,شبكة قنطرية,"Brückenschaltung, fKreuzschaltung, fX-Schaltung, f",bridge networklattice network,red en celosíared en puente,"réseau en pont, mréseau en treillis, m",rete a ponte,ブリッジネットワーク格子回路網ブリッジ回路網,브리지 망격자 망,bru-nettverk,mostekczwórnik kratowy,rede em ponte,korslänk,桥形网络X形网络
131-13-28,bridged-T network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-28,شبكة T- قنطرية,"überbrückte T-Schaltung, fBrücken-T-Schaltung, f",bridged-T network,red en T puenteada,"réseau en T ponté, m",rete a ponte a T,ブリッジＴネットワークブリッジＴ形回路網,T형 브리지 망,T-nettverk med bru,czwórnik typu T zmostkowane,rede em ponte-T,överbryggad T-länk,桥接T形网络
131-13-29,ladder network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-29,شبكة سُلمية,"L-Kettenschaltung, f",ladder network,red en escalera,"réseau en échelle, m",rete in cascata,はしご回路網ラダーネットワーク,사다리 망,stigenettverk,sieć drabinkowa,rede em escada,stegnät,梯形网络
131-13-30,twin-T network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-30,شبكة T- مزدوجة,"Doppel-T-Schaltung, f",twin-T network,red en doble T,"réseau en double T, m",rete a doppia T,並列Ｔ形回路網,쌍둥이 T형 망,dobbelt T-nettverk,czwórnik typu T podwójne,rede em duplo T,dubbel T-länk,双T形网络
131-14-01,terminating immittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-01,قبولية معاوقة انهاء,"Abschlussimmittanz, f",terminating immittance,immitacia de cierre,"immittance de fermeture, f",immettenza ai morsetti,終端イミタンス,종단 이미턴스,termineringsimmittans,immitancja robocza,imitância terminal,anslutningsimmittans,端接导抗
131-14-02,terminating impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-02,معاوقة انهاء,"Abschlussimpedanz, f",terminating impedance,impedancia de cierre,"impédance de fermeture, f",impedenza ai morsetti,終端インピーダンス,종단 임피던스,termineringsimpedans,impedancja robocza,impedância terminal,anslutningsimpedans,端接阻抗
131-14-03,terminating admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-03,سماحية انهاء,"Abschlussadmittanz, f",terminating admittance,admitancia de cierre,"admittance de fermeture, f",ammettenza ai morsetti,終端アドミタンス,종단 어드미턴스,termineringsadmittans,admitancja robocza,admitância terminal,anslutningsadmittans,端接导纳
131-14-04,load immittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-04,قبولية معاوقة حمل,"Lastimmittanz, f",load immittance,immitancia de carga,"immittance de charge, f",immettenza di carico,負荷イミタンス,부하 이미턴스,lastimmitans,immitancja obciążenia,imitância de carga,belastningsimmittans,负载导抗
131-14-05,load impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-05,معاوقة حمل,"Lastimpedanz, f",load impedance,impedancia de carga,"impédance de charge, f",impedenza di carico,負荷インピーダンス,부하 임피던스,lastimpedans,impedancja obciążenia,impedância de carga,belastningsimpedans,负载阻抗
131-14-06,load admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-06,سماحية حمل,"Lastadmittanz, f",load admittance,admitancia de carga,"admittance de charge, f",ammettenza di carico,負荷アドミタンス,부하 어드미턴스,lastadmittans,admitancja obciążenia,admitância de carga,belastningsadmittans,负载导纳
131-14-07,input immittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-07,قبولية معاوقة دخل,"Eingangsimmittanz, f",input immittancedriving-point immittance,immitancia de entrada,"immittance d'entrée, f",immettenza di ingresso,入力イミタンス駆動点イミタンス,입력 이미턴스구동점 이미턴스,inngangsimmittans,immitancja wejściowa,imitância de entrada,inimmittans,输入导抗策动点导抗
131-14-08,input impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-08,معاوقة دخل,"Eingangsimpedanz, f",input impedance,impedancia de entrada,"impédance d'entrée, f",impedenza di ingresso,入力インピーダンス,입력 임피던스,inngangsimpedans,impedancja wejściowa,impedância de entrada,inimpedans,输入阻抗
131-14-09,input admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-09,سماحية دخل,"Eingangsadmittanz, f",input admittance,admitancia de entrada,"admittance d'entrée, f",ammettenza di ingresso,入力アドミタンス,입력 어드미턴스,inngangsadmittans,admitancja wejściowa,admitância de entrada,inadmittans,输入导纳
131-14-10,output immittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-10,قبولية معاوقة خرج,"Ausgangsimmittanz, f",output immittance,immitancia de salida,"immittance de sortie, f",immettenza di uscita,出力イミタンス,출력 이미턴스,utgangsimmittans,immitancja wyjściowa,imitância de saída,utimmittans,输出导抗
131-14-11,output impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-11,معاوقة خرج,"Ausgangsimpedanz, f",output impedance,impedancia de salida,"impédance de sortie, f",impedenza di uscita,出力インピーダンス,출력 임피던스,utgangsimpedans,impedancja wyjściowa,impedância de saída,utimpedans,输出阻抗
131-14-12,output admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-12,سماحية خرج,"Ausgangsadmittanz, f",output admittance,admitancia de salida,"admittance de sortie, f",ammettenza di uscita,出力アドミタンス,출력 어드미턴스,utgangsadmittans,admitancja wyjściowa,admitância de saída,utadmittans,输出导纳
131-14-13,forward transfer impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-13,معاوقة نقل أمامى,"Übertragungsimpedanz vorwärts, fÜbertragungsimpedanz, fTransimpedanz vorwärts, fTransimpedanz, f",forward transfer impedancetransfer impedance,impedancia de transferencia directa,"impédance de transfert direct, fimpédance de transfert, f",impedenza di trasferimento diretto,伝達インピーダンス,전방 전달 임피던스전달 임피던스,overføringsimpedans,impedancja przejścia w przódimpedancja przejścia,impedância de transferência diretaimpedância de transferência,överföringsimpedans i framriktning,正向转移阻抗转移阻抗正向传递阻抗传递阻抗
131-14-14,reverse transfer impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-14,معاوقة نقل عكسي,"Übertragungsimpedanz rückwärts, fTransimpedanz rückwärts, f",reverse transfer impedance,impedancia de transferencia inversa,"impédance de transfert inverse, f",impedenza di trasferimento inverso,逆伝達インピーダンス,역 전달 임피던스,invers overføringsimpedans,impedancja przejścia wstecz,impedância de transferência inversa,överföringsimpedans i backriktning,反向转移阻抗反向传递阻抗
131-14-15,forward transfer admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-15,سماحية نقل أمامى,"Übertragungsadmittanz vorwärts, fÜbertragungsadmittanz, fTransadmittanz vorwärts, fTransadmittanz, f",forward transfer admittancetransfer admittance,admitancia de transferencia directa,"admittance de transfert direct, fadmittance de transfert, f",ammettenza di trasferimento diretto,伝達アドミタンス,전방 전달 어드미턴스전달 어드미턴스,overføringsadmittans,admitancja przejścia w przód  admitancja przejścia,admitância de transferência diretaadmitância de transferência,överföringsadmittans i framriktning,正向转移导纳转移导纳正向传递导纳传递导纳
131-14-16,reverse transfer admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-16,سماحية نقل عكسى,"Übertragungsadmittanz rückwärts, fTransadmittanz rückwärts, f",reverse transfer admittance,admitancia de transferencia inversa,"admittance de transfert inverse, f",ammettenza di trasferimento inverso,逆伝達アドミタンス,역 전달 어드미턴스,invers overføringsadmittans,admitancja przejścia wstecz,admitância de transferência inversa,överföringsadmittans i backriktning,反向转移导纳反向传递导纳
131-14-17,transfer immittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-17,قبولية معاوقة نقل,"Übertragungsimmittanz, fTransimmittanz, f",transfer immittance,immitancia de transferencia,"immittance de transfert, f",immettenza di trasferimento,伝達イミタンス,전달 이미턴스,overføringsimmittans,immitancja przejścia,imitância de transferência,överföringsimmittans,转移导抗传递导抗
131-14-18,forward transfer ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-18,نسبة نقل أمامي,"Übersetzung vorwärts, fÜbersetzung, f",forward transfer ratiotransfer ratio,relación de transferencia directa,"rapport de transfert direct, mrapport de transfert, m",rapporto di trasferimento diretto,伝達比,전방 전달비전달비,overføringshøve,przekładnia transferowa,relação de transferência diretarelação de transferência,överföringsfaktor i framriktning,正向转移比转移比正向传递比传递比
131-14-19,reverse transfer ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-19,نسبة نقل عكسي,"Übersetzung rückwärts, f",reverse transfer ratio,relación de transferencia inversa,"rapport de transfert inverse, m",rapporto di trasferimento inverso,逆伝達比,역 전달비,inverst overføringshøve,przekładnia transferowa wsteczna,relação de transferência inversa,överföringsfaktor i backriktning,反向转移比反向传递比
131-14-20,short-circuited,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-20,دارة مقصورة,"kurzgeschlossen, Adjektiv",short-circuited,en cortocircuito (1),"en court-circuit (1), qualificatif",cortocircuitato,"短絡の, 形容詞短絡",단락,kortslutta,zwarty,em curtocircuito (1),kortsluten,短路的
131-14-21,"short-circuit, qualifier",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-21,دارة قصر,"Kurzschluss…, in Zusammensetzungen","short-circuit, qualifier",en cortocircuito (2),"en court-circuit (2), qualificatif",cortocircuito,"短絡, 修飾語","단락, 수식어",kortsluttings-,"zwarcia, kwalifikator  stanu zwarcia, kwalifikator",em curtocircuito (2),kortslutnings-,"短路, 限定词"
131-14-22,open-circuited,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-22,مفتوح الدارة,"offen, Adjektivim Leerlauf, Adjektiv",open-circuited,a circuito abierto (1),"en circuit ouvert (1), qualificatif",a circuito aperto,"開放の, 修飾語開放開路の開路",개방 회로,open,rozwartyotwarty,em circuito aberto (1),öppen,开路的
131-14-23,"open-circuit, qualifier",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-23,دارة فتح ، مؤهل,"Leerlauf..., in Zusammensetzungen","open-circuit, qualifier",a circuito abierto (2),"en circuit ouvert (2), qualificatif",circuito aperto,"開放, 修飾語開路","개방 회로, 수식어",tomgangs-,"rozwarcia, kwalifikator  stanu jałowego, kwalifikator",em circuito aberto (2),tomgångs-,"开路, 限定词"
131-14-24,impedance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-24,مصفوفة معاوقة,"Impedanzmatrix, f",impedance matrix,matriz de impedancia,"matrice d'impédance, f",matrice delle impedenze,インピーダンス行列,임피던스 행렬,impedansmatrise,macierz impedancji,matriz de impedância,impedansmatris,阻抗矩阵
131-14-25,admittance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-25,مصفوفة سماحية,"Admittanzmatrix, f",admittance matrix,matriz de admitancia,"matrice d'admittance, f",matrice delle ammettenze,アドミタンス行列,어드미턴스 행렬,admittansmatrise,macierz admitancji,matriz de admitância,admittansmatris,导纳矩阵
131-14-26,immittance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-26,مصفوفة قبولية معاوقة,"Immittanzmatrix, f",immittance matrix,matriz de immitancia,"matrice d'immittance, f",matrice delle immettenze,イミタンス行列,이미턴스 행렬,immittansmatrise,macierz immitancji,matriz de imitância,immittansmatris,导抗矩阵
131-14-27,reciprocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-27,تبادلية,"Kopplungssymmetrie, fReziprozität, f",reciprocity,reciprocidad,"réciprocité, f",reciprocità,相反性,상반성,resiprositet,odwracalnośćwzajemność (termin niezalecany),reciprocidade,reciprocitet,互易性
131-14-28,reciprocal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-28,تبادلى,"kopplungssymmetrisch, Adjektivreziprok, Adjektiv",reciprocal,recíproco,"réciproque, adj",reciproco,相反性の,가역,resiprok,odwracalnywzajemny (termin niezalecany),recíproco,reciprok,互易的
131-14-29,H-matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-29,مصفوفة H,"Reihen-Parallel-Matrix, fHybridmatrix, f",H-matrix,matriz H,"matrice H, f",matrice H,H行列,H 행렬,H-matrise,macierz H,matriz H,H-matris,H矩阵
131-14-30,K-matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-30,مصفوفة K,"Parallel-Reihen-Matrix, f",K-matrix,matriz K,"matrice K, f",matrice K,K行列,K 행렬,K-matrise,macierz K,matriz K,K-matris,K矩阵
131-14-31,chain matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-31,مصفوفة سلسلية,"Kettenmatrix, f",chain matrix,matriz de cadenamatriz de transmisión,"matrice de chaîne, f",matrice di catena,チェーンマトリックス基本行列,연쇄 행렬,kjedematrise,macierz łańcuchowa,matriz de cadeia,kedjematris i framriktning,链接矩阵传输矩阵
131-14-32,reverse chain matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-32,مصفوفة سلسلية عكسية,"Kettenmatrix rückwärts, f",reverse chain matrix,matriz de cadena inversamatriz de transmisión inversa,"matrice de chaîne inverse, f",matrice di catena inversamatrice di trasmissione inversa,逆チェーンマトリックス逆基本行列,역연쇄 행렬,invers kjedematrise,macierz łańcuchowa odwrotna,matriz de cadeia inversa,kedjematris i backriktning,逆链接矩阵逆传输矩阵
131-14-33,incident scattering variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-33,متغير الانتشار الساقط,"Streuvariable, fWellengröße, f",incident scattering variableincident wave quantity,magnitud de onda incidentevariable de reparto incidente,"variable de répartition incidente, fgrandeur d'onde incidente, f",grandezza dell'onda in ingresso,入射波量,입사 산란 변수입사파량,innfallande bølgjestorleik,zmienna rozproszenia fali padającej,variável de difusão incidentegrandeza de onda incidente,infallande vågstorhet,入射散射变量入射波量
131-14-34,output scattering variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-34,متغير تبعثر الخرج,"Ausgangs-Streuvariable, fAusgangs-Wellengröße, f",output scattering variableoutput wave quantity,magnitud de onda salientevariable de reparto saliente,"variable de répartition sortante, fgrandeur d'onde sortante, f",grandezza dell'onda di uscita,出力波量,출력 산란 변수출력파량,utgåande bølgjestorleik,zmienna rozproszenia fali odbitej,variável de difusão de saídagrandeza de onda de saída,utgående vågstorhet,输出散射变量输出波量
131-14-35,scattering matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-35,مصفوفة تبعثر,"Streumatrix, f",scattering matrix,matriz de reparto,"matrice de répartition, f",matrice di diffusione,散乱行列,산란 행렬,spreiingsmatrise,macierz rozproszenia,matriz de difusão,spridningsmatris,散射矩阵
131-14-36,scattering parameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-36,ثابت تبعثر,"Streuparameter, mStreukoeffizient, m",scattering parameterscattering coefficient,factor de repartoparámetro de reparto,"facteur de répartition, mparamètre de répartition, m",parametro di diffusione,散乱係数,산란 계수,spreiingsparameter,współczynnik rozproszenia,parâmetro de difusão,spridningsparameter,散射参数散射系数
131-14-37,wave transfer factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-37,عامل نقل موجة,"Übertragungsfaktor, m",wave transfer factoramplitude transmission factor,factor de transferencia de ondafactor de transmisión complejo,"facteur de transfert d'onde, mfacteur de transmission complexe, m",fattore di trasferimento d'onda,振幅透過係数波伝達係数,전파 전달 인자진폭 전달 인자,overføringsfaktor,współczynnik transmisji,fator de transferência de ondafator de transmissão complexo,transmissionsfaktor,波传输因子振幅传输因子
131-14-38,wave chain matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-14-38,مصفوفة سلسلة موجات,"Betriebskettenmatrix, f",wave chain matrix,matriz de cadena de onda,"matrice de chaîne d'onde, f",matrice di catena d'onda,高周波基本行列,전파 연쇄 행렬,overføringsmatrise,macierz transmisyjna,matriz de cadeia de onda,överföringsmatris,波链接矩阵波传输矩阵
131-15-01,network analysis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-01,تحليل الشبكات,"Netzwerkanalyse, f",network analysis,análisis de una red,"analyse d’un réseau, f",analisi della rete,回路網解析,망 해석,nettverksanalyse,analiza sieci,análise de redes,nätanalys,网络分析
131-15-02,node method,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-02,طريقة العقدة,"Knotenverfahren, n",node method,método de los nudos,"méthode des noeuds, f",metodo dei nodi,接点法,노드 법,knutepunktmetode,metoda węzłowa,método dos nós,nodanalys,节点法
131-15-03,mesh method,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-03,طريقة الشبيكات,"Maschenverfahren, n",mesh method,método de las mallas,"méthode des mailles, f",metodo delle maglie,網目法,그물망 법,maskemetode,metoda oczkowa,método das malhas,slinganalys,基本回路法
131-15-04,cut-set method,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-04,طريقة مجموعة مقتطعات,"Trennbündelverfahren, n",cut-set method,método de los conjuntos de corte,"méthode des coupures, f",metodo degli insiemi di taglio,カットセット法,자름 집합 법,kuttesettmetode,metoda rozcięć,método dos cortes,,割集法
131-15-05,network synthesis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-05,تشكيل شبكة,"Netzwerksynthese, f",network synthesis,síntesis de una red,"synthèse d'un réseau, f",sintesi della rete,ネットワーク合成回路網合成,망 합성,nettverkssyntese,synteza sieci,síntese de redes,nätsyntes,网络综合
131-15-06,electric circuit model,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-06,نموذج دارة كهربائية,"Netzwerkmodell, nSchaltkreismodell, n",electric circuit model,modelo de circuito eléctrico,"modèle de circuit électrique, m",modello di circuito elettrico,電気回路モデル回路モデル,전기 회로 모형,elektrisk krinsmodell,model obwodowyschemat zastępczy,modelo de circuito elétrico,kretsmodel,电路模型
131-15-07,equivalent electric circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-07,دارة كهربائية مكافئة,"Ersatzschaltung, f",equivalent electric circuit,circuito eléctrico equivalente,"circuit électrique équivalent, m",circuito elettrico equivalente,等価電気回路等価回路,등가 전기 회로,ekvivalent elektrisk krins,obwód elektryczny równoważny,circuito elétrico equivalente,ekvivalent strömkrets,等效电路
131-15-08,Ohm's law,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-08,قانون أوم,"Ohmsches Gesetz, n",Ohm's lawOhm law,ley de Ohm,"loi d'Ohm, f",legge di Ohm,オームの法則,오옴 법칙오옴 법칙,Ohms lov,prawo Ohma,lei de Ohm,Ohms lag,欧姆定律
131-15-09,Kirchhoff law for nodes,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-09,قانون كيرشوف للعقد,"erstes Kirchhoff-Gesetz, nKnotensatz, m",Kirchhoff law for nodesKirchhoff current law,ley de Kirchhoff de las corrientesley de Kirchhoff para los nudos,"loi de Kirchhoff des noeuds, floi de Kirchhoff des courants, f",legge di Kirchhoff ai nodilegge di Kirchhoff delle correnti,キルヒホフの電流の法則節点におけるキルヒホフの法則,키르히호프 노드 법칙,Kirchhoffs første lov,prawo Kirchhoffa prądowepierwsze prawo Kirchhoffa,lei de Kirchhoff dos nóslei de Kirchhoff das correntes,Kirchhoffs strömlag,基尔霍夫电流定律
131-15-10,Kirchhoff law for meshes,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-10,قانون كيرشوف للشبيكات,"zweites Kirchhoff-Gesetz, nMaschensatz, m",Kirchhoff law for meshesKirchhoff voltage lawKirchhoff tension law,ley de Kirchhoff de las tensionesley de Kirchhoff para las mallas,"loi de Kirchhoff des mailles, floi de Kirchhoff des tensions, f",legge di Kirchhoff alle maglielegge di Kirchhoff delle tensioni,キルヒホフの電圧の法則閉路におけるキルヒホフの法則,키르히호프 그물망 법칙키르히호프 전압 법칙키르히호프 장력 법칙,Kirchhoffs andre lov,prawo Kirchhoffa napięciowedrugie prawo Kirchhoffa,lei de Kirchhoff das tensõeslei de Kirchhoff das malhas,Kirchhoffs spänningslag,基尔霍夫电压定律
131-15-11,reciprocity theorem,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-11,نظرية التبادلية,"Kopplungstheorem, nReziprozitätstheorem, n",reciprocity theorem,teorema de reciprocidad,"théorème de réciprocité, m",teorema di reciprocità,相反定理,상반 정리,resiprositetsteorem,twierdzenie o wzajemności,teorema de reciprocidade,reciprocitetssatsen,互易定理
131-15-12,superposition theorem,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-15-12,نظرية التراكب,"Überlagerungstheorem, n",superposition theorem,teorema de superposición,"théorème de superposition, m",teorema di sovrapposizione,重ね合わせの定理,중첩 정리,superposisjonsteorem,zasada superpozycji,teorema de sobreposição,superpositionssatsen,叠加定理
